full-title,title,label
<p>เตรียมรองรับคนไทย ที่ทยอยเดินทางกลับจากต่างประเทศกว่า 7 พันคน จริงหรือ?</p>,เตรียมรองรับคนไทย ที่ทยอยเดินทางกลับจากต่างประเทศกว่า 7 พันคน,real
<p>ข่าวปลอม อย่าแชร์! ดื่มเบกกิ้งโซดา ช่วยให้ออกกำลังกายได้นานขึ้น</p>,ดื่มเบกกิ้งโซดา ช่วยให้ออกกำลังกายได้นานขึ้น,fake
<p>ข่าวปลอม อย่าแชร์! ล้างไขมันในลำไส้ ด้วยชามะละกอ</p>,ล้างไขมันในลำไส้ ด้วยชามะละกอ,fake
<p>ข่าวบิดเบือน อย่าแชร์! กระเทียมไทย ช่วยต้านไวรัสโควิด-19</p>,กระเทียมไทย ช่วยต้านไวรัสโควิด-19,incorrect
<p>ข่าวปลอม อย่าแชร์! พบผู้ติดเชื้อโควิด-19 จำนวน 3 คน ที่ตลาดเสรี จ.นครปฐม</p>,พบผู้ติดเชื้อโควิด-19 จำนวน 3 คน ที่ตลาดเสรี จ.นครปฐม,fake
<p>ข่าวปลอม อย่าแชร์! อย. ขอรับการสนับสนุนค่าโฆษณาจัดทำวารสารฉบับพิเศษ อย. Report</p>,อย. ขอรับการสนับสนุนค่าโฆษณาจัดทำวารสารฉบับพิเศษ อย. Report,fake
"<p>ข่าวปลอม อย่าแชร์! พมจ.ช่วยเหลือผู้พิการ แจกเงินคนละ 2,000 บาท</p>","พมจ.ช่วยเหลือผู้พิการ แจกเงินคนละ 2,000 บาท",fake
<p>เดินทางข้ามจังหวัด โดยไม่มีเหตุจำเป็น อาจโดนกักตัว 14 วัน จริงหรือ?</p>,เดินทางข้ามจังหวัด โดยไม่มีเหตุจำเป็น อาจโดนกักตัว 14 วัน,real
<p>ข่าวปลอม อย่าแชร์! น้ำรากบัว รักษาหอบหืด แก้ภูมิแพ้ และไซนัสอักเสบ</p>,น้ำรากบัว รักษาหอบหืด แก้ภูมิแพ้ และไซนัสอักเสบ,fake
<p>การรถไฟฯ แจ้งยกเลิกขบวนรถทางไกล ทุกขบวน มีผลทันที 3 พ.ค. 63 จริงหรือ?</p>,การรถไฟฯ แจ้งยกเลิกขบวนรถทางไกล ทุกขบวน มีผลทันที 3 พ.ค. 63,real
<p>ข่าวบิดเบือน อย่าแชร์! ประกาศห้าม! แจกอาหารให้กับประชาชนตั้งแต่ 3 พ.ค. 63</p>,ประกาศห้าม! แจกอาหารให้กับประชาชนตั้งแต่ 3 พ.ค. 63,incorrect
<p>ราชกิจจาประกาศ เคอร์ฟิวทั่วราชอาณาจักร งดเดินทางข้ามจังหวัด จริงหรือ?</p>,ราชกิจจาประกาศ เคอร์ฟิวทั่วราชอาณาจักร งดเดินทางข้ามจังหวัด,real
"<p>ข่าวบิดเบือน อย่าแชร์! ฉีดวิตามินซี 10,000 มิลลิกรัม ช่วยป้องกันโควิด-19</p>","ฉีดวิตามินซี 10,000 มิลลิกรัม ช่วยป้องกันโควิด-19",incorrect
<p>ข่าวปลอม อย่าแชร์! รถเมล์สาย 110 หยุดวิ่งถาวร</p>,รถเมล์สาย 110 หยุดวิ่งถาวร,fake
<p>ข่าวบิดเบือน อย่าแชร์! การไฟฟ้า คำนวณราคาก๊าซสูงกว่าตลาดไนเม็กซ์ 4-5 เท่า ใช้เก็บค่าไฟฟ้าจากประชาชน</p>,การไฟฟ้า คำนวณราคาก๊าซสูงกว่าตลาดไนเม็กซ์ 4-5 เท่า ใช้เก็บค่าไฟฟ้าจากประชาชน,incorrect
<p>ข่าวปลอม อย่าแชร์! รพ.สมเด็จพระบรมราชเทวี ณ ศรีราชา เปิดรับบริจาค เพื่อจัดซื้ออุปกรณ์ทางการแพทย์</p>,รพ.สมเด็จพระบรมราชเทวี ณ ศรีราชา เปิดรับบริจาค เพื่อจัดซื้ออุปกรณ์ทางการแพทย์,fake
<p>ข่าวปลอม อย่าแชร์!  ข่าวด่วน! ไทยแพ้คดีคิงส์เกต คดีเหมืองทอง</p>, ข่าวด่วน! ไทยแพ้คดีคิงส์เกต คดีเหมืองทอง,fake
<p>สำนักงานการบินพลเรือนแห่งประเทศไทย “ขยายเวลาห้ามบินเข้าไทย” ถึง 31 พ.ค. 63 จริงหรือ?</p>,สำนักงานการบินพลเรือนแห่งประเทศไทย “ขยายเวลาห้ามบินเข้าไทย” ถึง 31 พ.ค. 63,real
<p>ข่าวปลอม อย่าแชร์! เอกสารโอนเงินค่าธรรมเนียมและค่าภาษี เพื่อปฏิบัติพิธีการศุลกากร</p>,เอกสารโอนเงินค่าธรรมเนียมและค่าภาษี เพื่อปฏิบัติพิธีการศุลกากร,fake
<p>กทม.สั่งยกเลิกด่านตรวจคัดกรองโควิด-19 โยกกำลังไปด่านเคอร์ฟิวแทน จริงหรือ?</p>,กทม.สั่งยกเลิกด่านตรวจคัดกรองโควิด-19 โยกกำลังไปด่านเคอร์ฟิวแทน,real
<p>ข่าวปลอม อย่าแชร์! บรรจุอิสลามศึกษาเข้าทุกโรงเรียน เพราะเป็นกฎกระทรวง</p>,บรรจุอิสลามศึกษาเข้าทุกโรงเรียน เพราะเป็นกฎกระทรวง,fake
<p>ข่าวปลอม อย่าแชร์! การบินไทย ไม่ไหวขอหยุดบินต่ออีก 4 เดือน เลิกบิน 20 เมืองทั่วโลก</p>,การบินไทย ไม่ไหวขอหยุดบินต่ออีก 4 เดือน เลิกบิน 20 เมืองทั่วโลก,fake
<p>ข่าวปลอม อย่าแชร์! รัฐฯ เหลืองบกลางเงินเยียวยาประชาชนแค่ 5 หมื่นล้าน</p>,รัฐฯ เหลืองบกลางเงินเยียวยาประชาชนแค่ 5 หมื่นล้าน,fake
"<p>ข่าวปลอม อย่าแชร์! ประกันสังคมจ่ายเงินคืน 1,200 บาท ให้แก่ผู้มีรายได้ประจำ</p>","ประกันสังคมจ่ายเงินคืน 1,200 บาท ให้แก่ผู้มีรายได้ประจำ",fake
<p>ข่าวบิดเบือน อย่าแชร์! เหตุค่าไฟแพง เพราะกฟผ. จัดซื้ออุปกรณ์เติมแก๊ส คันละ 1.5 แสนบาท</p>,เหตุค่าไฟแพง เพราะกฟผ. จัดซื้ออุปกรณ์เติมแก๊ส คันละ 1.5 แสนบาท,incorrect
<p>ข่าวปลอม อย่าแชร์! แจกเงินเยียวยาครอบครัวละ 1 หมื่นบาท เริ่มสิ้นเดือน เม.ย. 63</p>,แจกเงินเยียวยาครอบครัวละ 1 หมื่นบาท เริ่มสิ้นเดือน เม.ย. 63,fake
"<p>ข่าวปลอม อย่าแชร์! กรมราชทัณฑ์ ปล่อยนักโทษ 38,000 คน เนื่องในเนื่องในวโรกาสสำคัญต่างๆ</p>","กรมราชทัณฑ์ ปล่อยนักโทษ 38,000 คน เนื่องในเนื่องในวโรกาสสำคัญต่างๆ",fake
<p>ข่าวบิดเบือน อย่าแชร์! ด่วน! ยกเลิก วันหยุดนักขัตฤกษ์ เดือน พ.ค. 63 ทั้งหมด</p>,ด่วน! ยกเลิก วันหยุดนักขัตฤกษ์ เดือน พ.ค. 63 ทั้งหมด,incorrect
<p>ข่าวปลอม อย่าแชร์! หากโดนยึดใบขับขี่ จะไม่ได้คืน! ต้องไปสอบใหม่</p>,หากโดนยึดใบขับขี่ จะไม่ได้คืน! ต้องไปสอบใหม่,fake
<p>ข่าวบิดเบือน อย่าแชร์! ขยาย พ.ร.ก.ฉุกเฉิน เพราะเงินหมดคลัง</p>,ขยาย พ.ร.ก.ฉุกเฉิน เพราะเงินหมดคลัง,incorrect
<p>ข่าวปลอม อย่าแชร์! กาแฟสารสกัดจากธรรมชาติ ต้านโควิด-19</p>,กาแฟสารสกัดจากธรรมชาติ ต้านโควิด-19,fake
<p>ข่าวปลอม อย่าแชร์! เตือน! หน้ากากผ้าที่กระทรวงอุตสาหกรรมแจกฟรี ไม่ผ่านมาตรฐาน</p>,เตือน! หน้ากากผ้าที่กระทรวงอุตสาหกรรมแจกฟรี ไม่ผ่านมาตรฐาน,fake
<p>สบส. เตือน รพ.เอกชน ห้ามตั้งจุดตรวจคัดกรองโควิด-19 ในพื้นที่สาธารณะ จริงหรือ?</p>,สบส. เตือน รพ.เอกชน ห้ามตั้งจุดตรวจคัดกรองโควิด-19 ในพื้นที่สาธารณะ,real
"<p>ข่าวปลอม อย่าแชร์! เพิ่มเงินอุดหนุนเลี้ยงดูเด็กแรกเกิด จาก 600 เป็น 2,000 บาท</p>","เพิ่มเงินอุดหนุนเลี้ยงดูเด็กแรกเกิด จาก 600 เป็น 2,000 บาท",fake
"<p>ข่าวปลอม อย่าแชร์! บัตรสวัสดิการแห่งรัฐ แจก 3,000 บาท ให้ทุกคนที่มีอายุ 18 ปีขึ้นไป</p>","บัตรสวัสดิการแห่งรัฐ แจก 3,000 บาท ให้ทุกคนที่มีอายุ 18 ปีขึ้นไป",fake
<p>ข่าวปลอม อย่าแชร์! ยาจีนเหลียนฮัวชิงเหวินแคปซูลรักษาโควิด-19</p>,ยาจีนเหลียนฮัวชิงเหวินแคปซูลรักษาโควิด-19,fake
<p>ข่าวปลอม อย่าแชร์! กาแฟผสมยาปลุกเซ็กซ์ เพิ่มสมรรถภาพทางเพศได้</p>,กาแฟผสมยาปลุกเซ็กซ์ เพิ่มสมรรถภาพทางเพศได้,fake
<p>ข่าวบิดเบือน อย่าแชร์! ยกเลิกบิลค่าไฟเดือนนี้ ให้จ่ายบิลค่าไฟเดือน ก.พ. แทน</p>,ยกเลิกบิลค่าไฟเดือนนี้ ให้จ่ายบิลค่าไฟเดือน ก.พ. แทน,incorrect
<p>ข่าวปลอม อย่าแชร์! เพียงกรอกรหัสทะเบียนบ้าน ทางรัฐฯจะจัดส่งหน้ากากอนามัยให้ฟรี</p>,เพียงกรอกรหัสทะเบียนบ้าน ทางรัฐฯจะจัดส่งหน้ากากอนามัยให้ฟรี,fake
<p>ข่าวปลอม อย่าแชร์! รัฐฯขอรับบริจาค จาก 20 มหาเศรษฐี เพื่อซื้อชุดตรวจโควิดแจกอาเซียน</p>,รัฐฯขอรับบริจาค จาก 20 มหาเศรษฐี เพื่อซื้อชุดตรวจโควิดแจกอาเซียน,fake
<p>ข่าวปลอม อย่าแชร์! “รัฐวิสาหกิจจีนบริจาคชุดตรวจโควิดมาให้ใช้ฟรี แต่ถูก อย. กักไว้ที่ด่านสุวรรณภูมิ”</p>,“รัฐวิสาหกิจจีนบริจาคชุดตรวจโควิดมาให้ใช้ฟรี แต่ถูก อย. กักไว้ที่ด่านสุวรรณภูมิ”,fake
<p>ข่าวบิดเบือน อย่าแชร์! แจกอาหาร แจกของ ไม่ต้องแจ้งผู้ว่าฯ แต่ต้องแจ้งเจ้าหน้าที่</p>,แจกอาหาร แจกของ ไม่ต้องแจ้งผู้ว่าฯ แต่ต้องแจ้งเจ้าหน้าที่,incorrect
<p>ข่าวปลอม อย่าแชร์! เล่นมือถือในที่มืดนาน ทำให้เป็นมะเร็งตาหรือตาบอดถาวร</p>,เล่นมือถือในที่มืดนาน ทำให้เป็นมะเร็งตาหรือตาบอดถาวร,fake
<p>ตร.แจ้งข้อหาผู้ที่นำของมาบริจาคจัดกิจกรรมมั่วสุม จริงหรือ?</p>,ตร.แจ้งข้อหาผู้ที่นำของมาบริจาคจัดกิจกรรมมั่วสุม,real
<p>ข่าวปลอม อย่าแชร์! คณะสงฆ์เจ้าอาวาสทั่วราชอาณาจักร ขอความร่วมมือให้งดหรือเลื่อนการตาย</p>,คณะสงฆ์เจ้าอาวาสทั่วราชอาณาจักร ขอความร่วมมือให้งดหรือเลื่อนการตาย,fake
<p>มท. สั่งด่วน! ถึงผู้ว่าฯ ทุกจังหวัด ให้จัดระเบียบกิจกรรมแจกของบริจาค จริงหรือ?</p>,มท. สั่งด่วน! ถึงผู้ว่าฯ ทุกจังหวัด ให้จัดระเบียบกิจกรรมแจกของบริจาค,real
<p>“พล.อ.ประวิตร” ตรวจเยี่ยม ศูนย์ต่อต้านข่าวปลอม เน้นสร้างการรับรู้ ลดผลกระทบ fake news ในช่วงโควิด-19</p>,“พล.อ.ประวิตร” ตรวจเยี่ยม ศูนย์ต่อต้านข่าวปลอม เน้นสร้างการรับรู้ ลดผลกระทบ fake news ในช่,real
<p>ข่าวบิดเบือน อย่าแชร์! ค่าไฟแพง เพราะประเทศขาดรายได้</p>,ค่าไฟแพง เพราะประเทศขาดรายได้,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! ธนาคารยืนยัน! ขึ้นสถานะใหม่แล้ว จะได้รับเงิน 22 เม.ย. นี้</p>,ธนาคารยืนยัน! ขึ้นสถานะใหม่แล้ว จะได้รับเงิน 22 เม.ย. นี้,incorrect
<p>ข่าวปลอม อย่าแชร์! หนังสือเรียนวิชาอิสลาม ระบุ ห้ามไหว้ผู้มีพระคุณ เพราะผิดหลักศาสนา</p>,หนังสือเรียนวิชาอิสลาม ระบุ ห้ามไหว้ผู้มีพระคุณ เพราะผิดหลักศาสนา,fake
<p>ข่าวบิดเบือน อย่าแชร์! 1 พ.ค. นี้ ชลบุรีจะกลับมาสู่ภาวะปกติ</p>,1 พ.ค. นี้ ชลบุรีจะกลับมาสู่ภาวะปกติ,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! ทอท. ปรับลด หรือไม่เรียกเก็บค่าผลประโยชน์ตอบแทนในอัตราร้อยละ จากร้านค้าปลอดภาษีชื่อดังแห่งหนึ่ง</p>,ทอท. ปรับลด หรือไม่เรียกเก็บค่าผลประโยชน์ตอบแทนในอัตราร้อยละ จากร้านค้าปลอดภาษีชื่อดังแห่งหนึ่ง,incorrect
<p>เตือน! พายุฤดูร้อนรอบใหม่ 22-25 เม.ย. 63 ส่งกระทบหลายจังหวัด</p>,เตือน! พายุฤดูร้อนรอบใหม่ 22-25 เม.ย. 63 ส่งกระทบห,real
<p>ข่าวบิดเบือน อย่าแชร์! สมุนไพรไทย ต้านไวรัสโควิด-19</p>,สมุนไพรไทย ต้านไวรัสโควิด-19,incorrect
<p>ข่าวปลอม อย่าแชร์! กฟน. เพิ่มราคาต่อหน่วยไฟฟ้า เหตุ! ต้นทุนเชื้อเพลิงเพิ่มขึ้น</p>,กฟน. เพิ่มราคาต่อหน่วยไฟฟ้า เหตุ! ต้นทุนเชื้อเพลิงเพิ่มขึ้น,fake
<p>ข่าวปลอม อย่าแชร์! เพจกรมศุลกากร ขายเครื่องวัดอุณหภูมิ</p>,เพจกรมศุลกากร ขายเครื่องวัดอุณหภูมิ,fake
<p>ข่าวปลอม อย่าแชร์! เตียง ICU สำหรับรับผู้ป่วยโควิด-19 เต็ม</p>,เตียง ICU สำหรับรับผู้ป่วยโควิด-19 เต็ม,fake
<p>ข่าวบิดเบือน อย่าแชร์! ดื่มน้ำมะกรูดโซดา ช่วยลดไขมันในเลือดได้</p>,ดื่มน้ำมะกรูดโซดา ช่วยลดไขมันในเลือดได้,incorrect
<p>ข่าวปลอม อย่าแชร์! ผสมน้ำยาบ้วนปากกับน้ำส้มสายชู จะทำให้ตัวขาวขึ้น</p>,ผสมน้ำยาบ้วนปากกับน้ำส้มสายชู จะทำให้ตัวขาวขึ้น,fake
<p>ข่าวบิดเบือน อย่าแชร์! ดื่มน้ำอัญชันมะนาวโซดา วันละแก้ว แก้ตาฟาง ผอมเร็ว</p>,ดื่มน้ำอัญชันมะนาวโซดา วันละแก้ว แก้ตาฟาง ผอมเร็ว,incorrect
<p>ข่าวปลอม อย่าแชร์! อ้างสูตร! ตำรายารักษาโรคมะเร็งหายได้</p>,อ้างสูตร! ตำรายารักษาโรคมะเร็งหายได้,fake
<p>ข่าวบิดเบือน อย่าแชร์! สูตรกระเจี๊ยบเขียวแช่น้ำดื่ม มีประโยชน์มากมาย</p>,สูตรกระเจี๊ยบเขียวแช่น้ำดื่ม มีประโยชน์มากมาย,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! ชาตะไคร้ใบเตย รักษาอาการปวดขา ปวดข้อ</p>,ชาตะไคร้ใบเตย รักษาอาการปวดขา ปวดข้อ,incorrect
<p>ข่าวปลอม อย่าแชร์! เผย! เครื่องดื่มสมุนไพรโบราณ ดื่มก่อนนอน ความจำดีขึ้น</p>,เผย! เครื่องดื่มสมุนไพรโบราณ ดื่มก่อนนอน ความจำดีขึ้น,fake
<p>ข่าวบิดเบือน อย่าแชร์! 10 เมนูอาหาร ต้านไวรัส สร้างภูมิคุ้มกัน ป้องกัน COVID-19</p>,10 เมนูอาหาร ต้านไวรัส สร้างภูมิคุ้มกัน ป้องกัน COVID-19,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! กระเทียมมีสารอัลลิซิน ที่มีฤทธิ์ฆ่าเชื้อโควิด-19</p>,กระเทียมมีสารอัลลิซิน ที่มีฤทธิ์ฆ่าเชื้อโควิด-19,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! แนะดื่มน้ำกระชาย ต้านโควิด-19</p>,แนะดื่มน้ำกระชาย ต้านโควิด-19,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! น้ำกระเจี๊ยบแดงเสริมระบบภูมิคุ้มกันแข็งแรง ต้านโควิด-19</p>,น้ำกระเจี๊ยบแดงเสริมระบบภูมิคุ้มกันแข็งแรง ต้านโควิด-19,incorrect
<p>ข่าวปลอม อย่าแชร์! แนะ น้ำมันกัญชาสามารถป้องกันไวรัส COVID-19</p>,แนะ น้ำมันกัญชาสามารถป้องกันไวรัส COVID-19,fake
<p>ข่าวบิดเบือน อย่าแชร์! ดื่มน้ำขิงร้อน โยเกิร์ต และธัญพืช 8 ชนิด ช่วยป้องกันโควิด-19</p>,ดื่มน้ำขิงร้อน โยเกิร์ต และธัญพืช 8 ชนิด ช่วยป้องกันโควิด-19,incorrect
<p>ข่าวปลอม อย่าแชร์! น้ำกระเทียมคั้นสด รักษาโควิด-19</p>,น้ำกระเทียมคั้นสด รักษาโควิด-19,fake
<p>ข่าวบิดเบือน อย่าแชร์! “น้ำขิงมะนาว” ช่วยผิวขาวใส-กลิ่นปากหาย สลายลิ่มเลือด</p>,“น้ำขิงมะนาว” ช่วยผิวขาวใส-กลิ่นปากหาย สลายลิ่มเลือด,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! พรบ.อิสลามมีเพื่ออำนวยความสะดวกแก่ชาวไทยมุสลิม</p>,พรบ.อิสลามมีเพื่ออำนวยความสะดวกแก่ชาวไทยมุสลิม,incorrect
<p>ข่าวปลอม อย่าแชร์! 8 วิธีเปลี่ยนผิวเหลือง เป็นผิวขาวอมชมพู</p>,8 วิธีเปลี่ยนผิวเหลือง เป็นผิวขาวอมชมพู,fake
<p>ข่าวบิดเบือน อย่าแชร์! สุมยาบรรเทาอาการหวัด ต้านเชื้อไวรัสโควิด-19</p>,สุมยาบรรเทาอาการหวัด ต้านเชื้อไวรัสโควิด-19,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! สูตรกล้วยน้ำว้าพอกหน้า ไร้ริ้วรอยอ่อนวัย</p>,สูตรกล้วยน้ำว้าพอกหน้า ไร้ริ้วรอยอ่อนวัย,incorrect
"<p>ข่าวปลอม อย่าแชร์! ลือว่อน! รัฐมนตรีการคลัง เผยพร้อมยุติแจกเงิน 5,000</p>","ลือว่อน! รัฐมนตรีการคลัง เผยพร้อมยุติแจกเงิน 5,000",fake
<p>ข่าวปลอม อย่าแชร์! กาแฟผสมมะนาว น้ำมันมะพร้าว แก้ไมเกรนได้</p>,กาแฟผสมมะนาว น้ำมันมะพร้าว แก้ไมเกรนได้,fake
<p>ข่าวบิดเบือน อย่าแชร์! ดื่มน้ำขิงมะนาวทุกเช้า ช่วยผิวสวยนุ่ม น้ำหนักลง 2-3 กิโล</p>,ดื่มน้ำขิงมะนาวทุกเช้า ช่วยผิวสวยนุ่ม น้ำหนักลง 2-3 กิโล,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! สูตรน้ำใบเตย สะระแหน่ ช่วยบำรุงสายตา แก้นอนไม่หลับ</p>,สูตรน้ำใบเตย สะระแหน่ ช่วยบำรุงสายตา แก้นอนไม่หลับ,incorrect
<p>ข่าวปลอม อย่าแชร์! 5 สารใน”น้ำยาปรับผ้านุ่ม” เป็นภัยร้ายที่มาพร้อมกับความหอม</p>,5 สารใน”น้ำยาปรับผ้านุ่ม” เป็นภัยร้ายที่มาพร้อมกับความหอม,fake
<p>ข่าวบิดเบือน อย่าแชร์! ดื่มกระชาย+น้ำผึ้งมะนาว บำรุงสมอง มดลูก กระดูก แก้ผมร่วง</p>,ดื่มกระชาย+น้ำผึ้งมะนาว บำรุงสมอง มดลูก กระดูก แก้ผมร่วง,incorrect
<p>ข่าวปลอม อย่าแชร์! ลือ! โรคร้ายแรงที่ประกันสังคมไม่ครอบคลุม</p>,ลือ! โรคร้ายแรงที่ประกันสังคมไม่ครอบคลุม,fake
"<p>ข่าวบิดเบือน อย่าแชร์! มหาดไทย สำรวจข้อมูล ช่วยผู้ไม่ได้รับ 5,000 บาท</p>","มหาดไทย สำรวจข้อมูล ช่วยผู้ไม่ได้รับ 5,000 บาท",incorrect
<p>ข่าวบิดเบือน อย่าแชร์! เผย! วิธีลดน้ำหนัก 10 โล ด้วยไข่ต้ม ภายใน 14 วัน</p>,เผย! วิธีลดน้ำหนัก 10 โล ด้วยไข่ต้ม ภายใน 14 วัน,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! ชี้แนะ! 5 ผลไม้ช่วยล้างสารพิษดีที่สุด</p>,ชี้แนะ! 5 ผลไม้ช่วยล้างสารพิษดีที่สุด,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! อ้างวิจัยข้าวโพดต้ม ช่วยล้างพิษ ต้านอนุมูลอิสระได้</p>,อ้างวิจัยข้าวโพดต้ม ช่วยล้างพิษ ต้านอนุมูลอิสระได้,incorrect
<p>ข่าวปลอม อย่าแชร์! ชี้แนะเครื่องดื่มสมุนไพร ช่วยรักษาโรคหลอดเลือดในหัวใจ</p>,ชี้แนะเครื่องดื่มสมุนไพร ช่วยรักษาโรคหลอดเลือดในหัวใจ,fake
<p>ข่าวปลอม อย่าแชร์! คลอรีนในน้ำประปา เปลี่ยนเป็นสารก่อมะเร็งเมื่อถูกความร้อน</p>,คลอรีนในน้ำประปา เปลี่ยนเป็นสารก่อมะเร็งเมื่อถูกความร้อน,fake
<p>ข่าวปลอม อย่าแชร์! เตือนภัย! สวมรอยใช้ SIM CARD เพื่อแฮกข้อมูล</p>,เตือนภัย! สวมรอยใช้ SIM CARD เพื่อแฮกข้อมูล,fake
<p>ข่าวบิดเบือน อย่าแชร์! เคล็ดลับผิวขาวสวยเร็ว 5 วิธี ภายใน 7 วัน</p>,เคล็ดลับผิวขาวสวยเร็ว 5 วิธี ภายใน 7 วัน,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! ชวนเชื่อ! ดื่มชาตะไคร้ใบเตย รักษาโรคเก๊าท์ ปวดข้อ</p>,ชวนเชื่อ! ดื่มชาตะไคร้ใบเตย รักษาโรคเก๊าท์ ปวดข้อ,incorrect
<p>ข่าวปลอม อย่าแชร์! อ้าง! ร้านฟาสต์ฟู้ดดัง มอบอาหารสำหรับครอบครัวฟรี</p>,อ้าง! ร้านฟาสต์ฟู้ดดัง มอบอาหารสำหรับครอบครัวฟรี,fake
<p>ข่าวปลอม อย่าแชร์! เหตุ! งบกลางหาย เพราะรัฐฯนำมาจ่ายเงินชดเชยจำนำข้าว</p>,เหตุ! งบกลางหาย เพราะรัฐฯนำมาจ่ายเงินชดเชยจำนำข้าว,fake
<p>ข่าวปลอม อย่าแชร์! ลือว่อน! แพทย์ภูเก็ตขาดแคลนหน้ากากอนามัย</p>,ลือว่อน! แพทย์ภูเก็ตขาดแคลนหน้ากากอนามัย,fake
"<p>ข่าวบิดเบือน อย่าแชร์! พรก.สถานการณ์ฉุกเฉินเพิ่มโทษ ออกนอกบ้านไม่ใส่หน้ากากอนามัย ปรับ 2,000 บาท</p>","พรก.สถานการณ์ฉุกเฉินเพิ่มโทษ ออกนอกบ้านไม่ใส่หน้ากากอนามัย ปรับ 2,000 บาท",incorrect
<p>ข่าวบิดเบือน อย่าแชร์! เตรียมตุน! ยา Hydroxychloroquine ใช้รักษาผู้ป่วยโควิด-19 หายทุกราย</p>,เตรียมตุน! ยา Hydroxychloroquine ใช้รักษาผู้ป่วยโควิด-19 หายทุกราย,incorrect
<p>กทม.คุมเข้มสุ่มตรวจร้านค้าสถานบริการ ปิด/ห้ามขาย จริงหรือ?</p>,กทม.คุมเข้มสุ่มตรวจร้านค้าสถานบริการ ปิด/ห้ามขาย,real
<p>ข่าวปลอม อย่าแชร์! ผลิตภัณฑ์ ดีคอนแทค ช่วยบำรุง ฟื้นฟู สายตา</p>,ผลิตภัณฑ์ ดีคอนแทค ช่วยบำรุง ฟื้นฟู สายตา,fake
