full-title,title,label
<p>ข่าวปลอม อย่าแชร์! ชาวเน็ตพบโค้ดเว็บเราไม่ทิ้งกันผิดปกติ เหมือนจงใจให้เว็บล่มหรือปิด</p>,ชาวเน็ตพบโค้ดเว็บเราไม่ทิ้งกันผิดปกติ เหมือนจงใจให้เว็บล่มหรือปิด,fake
<p>ข่าวปลอม อย่าแชร์! เมื่อประกาศ พ.ร.ก.ฉุกเฉินฯ ประเทศไทยจะมีข้อบังคับการสื่อสารใหม่</p>,เมื่อประกาศ พ.ร.ก.ฉุกเฉินฯ ประเทศไทยจะมีข้อบังคับการสื่อสารใหม่,fake
<p>ข่าวปลอม อย่าแชร์! ด่านท่าฉัตรไชย สะพานสารสิน พบแรงงานแห่กลับบ้านจำนวนมาก</p>,ด่านท่าฉัตรไชย สะพานสารสิน พบแรงงานแห่กลับบ้านจำนวนมาก,fake
<p>ข่าวบิดเบือน อย่าแชร์! สมุนไพรพื้นบ้านรักษาโรคเบาหวาน</p>,สมุนไพรพื้นบ้านรักษาโรคเบาหวาน,incorrect
<p>ข่าวปลอม อย่าแชร์ กระทรวงพาณิชย์ห้ามผู้ผลิตไข่ไก่ นำสินค้าออกมาวางจำหน่าย เพื่อหวังขึ้นราคา</p>,ข่าวปลอม อย่าแชร์ กระทรวงพาณิชย์ห้ามผู้ผลิตไข่ไก่ นำสินค้าออกมาวางจำหน่าย เพื่อหว,real
"<p>ข่าวปลอม อย่าแชร์! เตือน! ภาพผลการลงทะเบียนเสร็จสิ้น รับเงิน 5,000 บาท ของจริงต้องแสดงเครื่องหมายถูกต้องสีเขียว</p>","เตือน! ภาพผลการลงทะเบียนเสร็จสิ้น รับเงิน 5,000 บาท ของจริงต้องแสดงเครื่องหมายถูกต้องสีเขียว",fake
<p>ข่าวปลอม อย่าแชร์! เรือนจำอุดรธานีขาดแคลนทุกอย่าง ขอความช่วยเหลือด่วน</p>,เรือนจำอุดรธานีขาดแคลนทุกอย่าง ขอความช่วยเหลือด่วน,fake
<p>ข่าวบิดเบือน อย่าแชร์! ผู้ว่าฯ ภูเก็ต ประกาศเคอร์ฟิว ห้ามออกจากบ้านตั้งแต่เวลา 17.00-24.00น.</p>,ผู้ว่าฯ ภูเก็ต ประกาศเคอร์ฟิว ห้ามออกจากบ้านตั้งแต่เวลา 17.00-24.00น.,incorrect
"<p>ข่าวปลอม อย่าแชร์! 44 เว็บไซต์ เชิญชวนประชาชนลงทะเบียน รับเงิน 5,000 บาท เยียวยา COVID-19</p>","44 เว็บไซต์ เชิญชวนประชาชนลงทะเบียน รับเงิน 5,000 บาท เยียวยา COVID-19",fake
"<p>โปรดระวัง! เว็บไซต์ปลอม และมิจฉาชีพรับจ้างลงทะเบียนรับเงินเยียวยา 5,000 บาท</p>",โปรดระวัง! เว็บไซต์ปลอม และมิจฉาชีพรับจ้างลงทะเบียนรับเงินเยียวยา,real
<p>ข่าวปลอม อย่าแชร์! แชร์สูตรป้องกันและรักษา COVID-19 ด้วยการทานเนื้อดิบ</p>,แชร์สูตรป้องกันและรักษา COVID-19 ด้วยการทานเนื้อดิบ,fake
<p>ข่าวบิดเบือน อย่าแชร์! จุฬาราชมนตรีส่งเอกสารบังคับผู้ว่าฯ ทั่วประเทศไทย</p>,จุฬาราชมนตรีส่งเอกสารบังคับผู้ว่าฯ ทั่วประเทศไทย,incorrect
"<p>ธนาคารปิดเสาร์-อาทิตย์ทั่วประเทศ ประชาชนสามารถรับมาตรการเยียวยา 5,000 บาท ผ่านทางช่องทางออนไลน์ได้ เริ่มวันเสาร์ที่ 28 มีนาคม 2563 ตั้งแต่ 18.00 น. จริงหรือ?</p>","ธนาคารปิดเสาร์-อาทิตย์ทั่วประเทศ ประชาชนสามารถรับมาตรการเยียวยา 5,000 บาท ผ่านทางช่องทางออนไลน์ได้ เริ่มวันเสาร์ที่ 28 มีนาคม 2563 ตั้งแต่ 18.00 น.",real
<p>ข่าวปลอม อย่าแชร์! ธนาคารออมสินแจ้ง! ผู้ถือบัตรสวัสดิการแห่งรัฐ ไม่ได้รับเงิน 5 พันบาท ตามมาตรการการเยียวยาของรัฐบาล</p>,ธนาคารออมสินแจ้ง! ผู้ถือบัตรสวัสดิการแห่งรัฐ ไม่ได้รับเงิน 5 พันบาท ตามมาตรการการเยียวยาของรัฐบาล,fake
<p>ข่าวปลอม อย่าแชร์! ยืนตากแดด ช่วยฆ่าเชื้อ COVID-19</p>,ยืนตากแดด ช่วยฆ่าเชื้อ COVID-19,fake
<p>ข่าวปลอม อย่าแชร์! สาวแบงก์กรุงไทย ติด COVID-19 แล้วให้บริการลูกค้า 1-200 คนต่อวัน</p>,สาวแบงก์กรุงไทย ติด COVID-19 แล้วให้บริการลูกค้า 1-200 คนต่อวัน,fake
<p>ข่าวบิดเบือน อย่าแชร์! สูตรทำน้ำยาฆ่าเชื้อไวรัส COVID-19 ด้วยน้ำยาซักผ้าขาว</p>,สูตรทำน้ำยาฆ่าเชื้อไวรัส COVID-19 ด้วยน้ำยาซักผ้าขาว,incorrect
<p>ข่าวปลอม อย่าแชร์! รับประทานไข่ต้มต้าน COVID-19</p>,รับประทานไข่ต้มต้าน COVID-19,fake
<p>ข่าวปลอม อย่าแชร์! เผยวิธีฆ่าเชื้อไวรัส COVID-19 ด้วยน้ำเกลือ และน้ำมะนาว</p>,เผยวิธีฆ่าเชื้อไวรัส COVID-19 ด้วยน้ำเกลือ และน้ำมะนาว,fake
<p>ข่าวปลอม อย่าแชร์! แชร์ว่อน คลิปวิดีโอวิธีตรวจสอบแอลกอฮอล์เจล โดยการเอาไปถูกับใบเสร็จรับเงิน</p>,แชร์ว่อน คลิปวิดีโอวิธีตรวจสอบแอลกอฮอล์เจล โดยการเอาไปถูกับใบเสร็จรับเงิน,fake
<p>ข่าวปลอม อย่าแชร์! เสพกัญชา ทำให้เชื้อ COVID-19 ฝังตัวไม่ได้</p>,เสพกัญชา ทำให้เชื้อ COVID-19 ฝังตัวไม่ได้,fake
<p>ข่าวปลอม อย่าแชร์! 3 วิธีรักษาโรคมะเร็งด้วยตนเอง</p>,3 วิธีรักษาโรคมะเร็งด้วยตนเอง,fake
<p>ข่าวปลอม อย่าแชร์! ยาสมุนไพรชนิดแคปซูล ช่วยรักษา COVID-19</p>,ยาสมุนไพรชนิดแคปซูล ช่วยรักษา COVID-19,fake
<p>ข่าวปลอม อย่าแชร์! แชร์สนั่น คลิปถ่ายทอดสด โจรเข้าปล้นซูเปอร์มาร์เก็ตในจังหวัดเชียงใหม่</p>,แชร์สนั่น คลิปถ่ายทอดสด โจรเข้าปล้นซูเปอร์มาร์เก็ตในจังหวัดเชียงใหม่,fake
<p>ข่าวบิดเบือน อย่าแชร์! 13 สมุนไพร มีติดบ้าน ต้านโรคภัย จากไวรัส COVID-19</p>,13 สมุนไพร มีติดบ้าน ต้านโรคภัย จากไวรัส COVID-19,incorrect
<p>ข่าวปลอม อย่าแชร์! ว่อน! โซเซียล หลังการขอคืนเงินประกันมิเตอร์ไฟฟ้า ปชช.จะเสียสิทธิ์ที่พึงจะได้รับทั้งระบบ</p>,ว่อน! โซเซียล หลังการขอคืนเงินประกันมิเตอร์ไฟฟ้า ปชช.จะเสียสิทธิ์ที่พึงจะได้รับทั้งระบบ,fake
"<p>ข่าวปลอม แชร์ว่อน! คลิปสัมภาษณ์ ผวจ.สุรินทร์ เผย สถานการณ์ COVID-19 มีคนติดเชื้อ 100,000 คน</p>",ข่าวปลอม แชร์ว่อน! คลิปสัมภาษณ์ ผวจ.สุรินทร์ เผย สถานการณ์ COVID-19 มีคนติดเชื้อ ,real
<p>ข่าวปลอม อย่าแชร์! “คนผ่านด่านตรวจ ไม่มีแมสปิดปาก จับปรับ 200 บาท”</p>,“คนผ่านด่านตรวจ ไม่มีแมสปิดปาก จับปรับ 200 บาท”,fake
<p>ข่าวปลอม อย่าแชร์! เกษตรกร ผู้สูงอายุ และผู้ถือบัตรสวัสดิการแห่งรัฐ ร้อง!! ไร้เงินเยียวยาตามมาตรการรัฐฯ</p>,เกษตรกร ผู้สูงอายุ และผู้ถือบัตรสวัสดิการแห่งรัฐ ร้อง!! ไร้เงินเยียวยาตามมาตรการรัฐฯ,fake
<p>ข่าวปลอม อย่าแชร์! ลือ เทศบาลหนึ่งในจังหวัดสมุทรปราการ บังคับพนักงานทำหน้ากากผ้า 1 แสนชิ้น</p>,ลือ เทศบาลหนึ่งในจังหวัดสมุทรปราการ บังคับพนักงานทำหน้ากากผ้า 1 แสนชิ้น,fake
<p>ข่าวปลอม อย่าแชร์! ยาป้องกันและรักษาโรคไวรัสปอดอักเสบ COVID-19</p>,ยาป้องกันและรักษาโรคไวรัสปอดอักเสบ COVID-19,fake
<p>ข่าวปลอม อย่าแชร์! อสม. ขอรับบริจาคเงินทุก 100 บาท ทำหน้ากากผ้า 66 ผืน</p>,อสม. ขอรับบริจาคเงินทุก 100 บาท ทำหน้ากากผ้า 66 ผืน,fake
<p>ข่าวปลอม อย่าแชร์! สมุนไพรไทยใกล้ตัว รักษาโควิด–19</p>,สมุนไพรไทยใกล้ตัว รักษาโควิด–19,fake
<p>ข่าวปลอม อย่าแชร์! ประกาศแล้ว เวลาเคอร์ฟิวของ พ.ร.ก. ฉุกเฉิน</p>,ประกาศแล้ว เวลาเคอร์ฟิวของ พ.ร.ก. ฉุกเฉิน,fake
<p>ข่าวปลอม อย่าแชร์! คณบดีคณะแพทยศาสตร์ศิริราชพยาบาล แจ้งวิธีปฏิบัติตัวในช่วงการแพร่ระบาดเชื้อไวรัสโควิด-19</p>,คณบดีคณะแพทยศาสตร์ศิริราชพยาบาล แจ้งวิธีปฏิบัติตัวในช่วงการแพร่ระบาดเชื้อไวรัสโควิด-19,fake
<p>ข่าวปลอม อย่าแชร์! เตือน! ไฟฉายมือถือส่องเบรกเกอร์คัตเอาต์ทำให้ระเบิด</p>,เตือน! ไฟฉายมือถือส่องเบรกเกอร์คัตเอาต์ทำให้ระเบิด,fake
<p>ข่าวปลอม อย่าแชร์! ดื่มน้ำต้มที่มีส่วนผสมของ ขิง ข่า ตะไคร้ หอม กระเทียม  ช่วยป้องกันและรักษา COVID-19</p>,ดื่มน้ำต้มที่มีส่วนผสมของ ขิง ข่า ตะไคร้ หอม กระเทียม  ช่วยป้องกันและรักษา COVID-19,fake
<p>ข่าวปลอม อย่าแชร์! ป้องกันโควิด-19 ด้วยผ้าอนามัยประกบกับหน้ากาก</p>,ป้องกันโควิด-19 ด้วยผ้าอนามัยประกบกับหน้ากาก,fake
<p>ข่าวปลอม อย่าแชร์! ประเทศไทยนำหน้ากากที่จีนส่งให้ ขายต่ออเมริกา</p>,ประเทศไทยนำหน้ากากที่จีนส่งให้ ขายต่ออเมริกา,fake
<p>ข่าวปลอม อย่าแชร์! ดื่มน้ำใบมะละกอปั่นสด ช่วยป้องกันและรักษา COVID-19</p>,ดื่มน้ำใบมะละกอปั่นสด ช่วยป้องกันและรักษา COVID-19,fake
<p>ข่าวบิดเบือน อย่าแชร์! เจ้าหน้าที่ควบคุมโรคจังหวัดสระบุรี ติดเชื้อ COVID-19 จำนวน 3 ราย หลังจากไปปฏิบัติงานที่สนามบินสุวรรณภูมิ</p>,เจ้าหน้าที่ควบคุมโรคจังหวัดสระบุรี ติดเชื้อ COVID-19 จำนวน 3 ราย หลังจากไปปฏิบัติงานที่สนามบินสุวรรณภูมิ,incorrect
<p>ประกันสังคมช่วยลูกจ้างฝ่าวิกฤติ COVID-19 ตกงานรับเงินเดือน 70% ยาว 6 เดือนครึ่ง จริงหรือ?</p>,ประกันสังคมช่วยลูกจ้างฝ่าวิกฤติ COVID-19 ตกงานรับเงินเดือน 70% ยาว 6 เดือนครึ่ง,real
<p>ข่าวปลอม  อย่าแชร์! การบินไทยจ่อล้มละลาย</p>,ข่าวปลอม  อย่าแชร์! การบินไทยจ,real
<p>ข่าวปลอม อย่าแชร์! นายกฯ ลงพื้นที่ปลุกคน สู้ COVID-19 กลางถนน</p>,นายกฯ ลงพื้นที่ปลุกคน สู้ COVID-19 กลางถนน,fake
<p>ข่าวบิดเบือน อย่าแชร์! ธนาคารออมสิน แจกแอลกอฮอล์เจลล้างมือ คนละ 1 ลิตร ทุกสาขาทั่วประเทศ</p>,ธนาคารออมสิน แจกแอลกอฮอล์เจลล้างมือ คนละ 1 ลิตร ทุกสาขาทั่วประเทศ,incorrect
<p>ข่าวปลอม อย่าแชร์! พบผู้ติดเชื้อ COVID-19 ที่โรงพยาบาลในจังหวัดพังงา จำนวน 2 ราย</p>,พบผู้ติดเชื้อ COVID-19 ที่โรงพยาบาลในจังหวัดพังงา จำนวน 2 ราย,fake
<p>หยุดแชร์! ข่าวปลอม รูปภาพ และข้อความที่ไม่เหมาะสม</p>,หยุดแชร์! ข่าวปลอม รูปภาพ และข้อความที่,real
<p>ข่าวปลอม อย่าแชร์! พบผู้ติดเชื้อ COVID-19 ที่โรงพยาบาลแห่งหนึ่งในอำเภอพระพุทธบาท จังหวัดสระบุรี</p>,พบผู้ติดเชื้อ COVID-19 ที่โรงพยาบาลแห่งหนึ่งในอำเภอพระพุทธบาท จังหวัดสระบุรี,fake
<p>ข่าวปลอม อย่าแชร์! ตลาดค้าส่งชื่อดังในจังหวัดปทุมธานี มีผู้ติดเชื้อ COVID-19 เสียชีวิตแล้ว 2 ราย</p>,ตลาดค้าส่งชื่อดังในจังหวัดปทุมธานี มีผู้ติดเชื้อ COVID-19 เสียชีวิตแล้ว 2 ราย,fake
<p>ข่าวปลอม อย่าแชร์! สถานที่อันตราย เสี่ยงติดเชื้อ COVID-19</p>,สถานที่อันตราย เสี่ยงติดเชื้อ COVID-19,fake
<p>ข่าวปลอม อย่าแชร์! พบผู้ติดเชื้อ COVID-19 เสียชีวิต ที่โรงพยาบาลในจังหวัดตราด</p>,พบผู้ติดเชื้อ COVID-19 เสียชีวิต ที่โรงพยาบาลในจังหวัดตราด,fake
<p>ข่าวปลอม อย่าแชร์! ประเทศไทยแพร่ระบาดระดับ 4 แล้ว</p>,ประเทศไทยแพร่ระบาดระดับ 4 แล้ว,fake
<p>คืนเงินนักท่องเที่ยว กรณีไม่สามารถเดินทางได้จากเหตุ COVID-19 จริงหรือ?</p>,คืนเงินนักท่องเที่ยว กรณีไม่สามารถเดินทางได้จากเหตุ COVID-19,real
<p>รถไฟฟ้าเชื่อมท่าอากาศยาน (ARL) ลดค่าตั๋วนอกเวลาเร่งด่วน ช่วยรับมือ COVID-19 จริงหรือ?</p>,รถไฟฟ้าเชื่อมท่าอากาศยาน (ARL) ลดค่าตั๋วนอกเวลาเร่งด่วน ช่วยรับมือ COVID-19,real
<p>อีสานฝนหนัก เตรียมรับพายุฤดูร้อน 20-23 นี้ จริงหรือ?</p>,อีสานฝนหนัก เตรียมรับพายุฤดูร้อน 20-23 นี้,real
<p>ข่าวปลอม อย่าแชร์! จังหวัดสุพรรณบุรี พบผู้ติดเชื้อ COVID-19 จำนวน 196 ราย</p>,จังหวัดสุพรรณบุรี พบผู้ติดเชื้อ COVID-19 จำนวน 196 ราย,fake
<p>เฮลั่น! เลื่อนตั๋วเครื่องบิน-รถไฟ-บขส.ฟรี หลังประกาศเลื่อนสงกรานต์</p>,เฮลั่น! เลื่อนตั๋วเครื่องบิน-รถไฟ-บขส.ฟรี หลังประกาศเลื่,real
<p>ข่าวปลอม อย่าแชร์! แพทยสภาถูกสธ. บังคับให้ระบุโรคผู้ติดเชื้อ COVID-19 เป็นโรคปอดอักเสบ (Pneumonia)</p>,แพทยสภาถูกสธ. บังคับให้ระบุโรคผู้ติดเชื้อ COVID-19 เป็นโรคปอดอักเสบ (Pneumonia),fake
<p>ข่าวปลอม อย่าแชร์! แชร์สนั่น! ไปรษณีย์ไทยห้ามส่งหน้ากากอนามัย และเจลแอลกอฮอล์</p>,แชร์สนั่น! ไปรษณีย์ไทยห้ามส่งหน้ากากอนามัย และเจลแอลกอฮอล์,fake
<p>4 กลุ่มบริษัทเอกชน มอบกรมธรรม์ประกันภัย COVID-19 ฟรี แก่เจ้าหน้าที่สาธารณสุข จริงหรือ?</p>,4 กลุ่มบริษัทเอกชน มอบกรมธรรม์ประกันภัย COVID-19 ฟรี แก่เจ้าหน้าที่สาธารณสุข,real
<p>ตลท. ออกมาตรการช่วยเหลือผู้ประกอบการในตลาดทุนฝ่าวิกฤต COVID-19 จริงหรือ?</p>,ตลท. ออกมาตรการช่วยเหลือผู้ประกอบการในตลาดทุนฝ่าวิกฤต COVID-19,real
<p>ข่าวปลอม สร้างความเข้าใจผิดทางสังคม อย่าแชร์! เจ้าหน้าที่รัฐฯ เปิดพัสดุฯ ทุกชิ้น พร้อมตรวจยึดหน้ากากอนามัย นำไปค้ากำไรต่อ</p>,ข่าวปลอม สร้างความเข้าใจผิดทางสังคม อย่าแชร์! เจ้าหน้าที่รัฐฯ เปิดพัสดุฯ ทุกชิ้น พร้อมตรวจยึดหน้ากากอนามัย นำไป,real
<p>รัฐตั้งเจ้าพนักงานคุมโรค รวมกำนัน ผู้ใหญ่บ้าน ช่วยกันเฝ้าระวัง COVID-19 จริงหรือ?</p>,รัฐตั้งเจ้าพนักงานคุมโรค รวมกำนัน ผู้ใหญ่บ้าน ช่วยกันเฝ้าระวัง COVID-19,real
<p>ข่าวปลอม อย่าแชร์! รัฐฯ กักตุนแอลกอฮอล์ คุมเข้มโรงงานทุกแห่งส่งรัฐฯ 50% ลั่น! ทำไทยเดือดร้อน</p>,รัฐฯ กักตุนแอลกอฮอล์ คุมเข้มโรงงานทุกแห่งส่งรัฐฯ 50% ลั่น! ทำไทยเดือดร้อน,fake
<p>ข่าวบิดเบือน ลูกจ้างที่เฝ้าระวังอาการติดเชื้อ COVID-19 ถูกกักตัว 14 วัน ไม่มีสิทธิได้รับค่าจ้าง</p>,ข่าวบิดเบือน ลูกจ้างที่เฝ้าระวังอาการติดเชื้อ COVID-19 ถูกกักตัว 14 วัน ไม่มีสิทธิได้,real
<p>รัฐสั่งกองทัพอากาศจัดเฮลิคอปเตอร์โปรยน้ำ ลดฝุ่นละออง PM 2.5 ในภาคเหนือ จริงหรือ?</p>,รัฐสั่งกองทัพอากาศจัดเฮลิคอปเตอร์โปรยน้ำ ลดฝุ่นละออง PM 2.5 ในภาคเหนือ,real
<p>ข่าวปลอม อย่าแชร์! สนับสนุนค่าตอบแทนผู้นำศาสนาอิสลามในจังหวัดชายแดนภาคใต้ ปีละ 893 ล้านบาท</p>,สนับสนุนค่าตอบแทนผู้นำศาสนาอิสลามในจังหวัดชายแดนภาคใต้ ปีละ 893 ล้านบาท,fake
<p>นายกฯ ยัน 18-31 มี.ค. ปิดเฉพาะสถานที่ที่มีความเสี่ยงสูง ไม่ได้ปิด กทม. – ปริมณฑล จริงหรือ?</p>,นายกฯ ยัน 18-31 มี.ค. ปิดเฉพาะสถานที่ที่มีความเสี่ยงสูง ไม่ได้ปิด กทม. – ปริมณฑล,real
<p>ข่าวปลอม อย่าแชร์! พบผู้ติดเชื้อ COVID-19 จำนวน 3-4 คนที่ห้างดังย่านบางขุนเทียน</p>,พบผู้ติดเชื้อ COVID-19 จำนวน 3-4 คนที่ห้างดังย่านบางขุนเทียน,fake
<p>ข่าวปลอม อย่าแชร์! พบผู้ติดเชื้อ COVID-19 จำนวน 3 คนที่ตลาดแห่งหนึ่งย่านคลองเตย</p>,พบผู้ติดเชื้อ COVID-19 จำนวน 3 คนที่ตลาดแห่งหนึ่งย่านคลองเตย,fake
<p>กรมบัญชีกลางอนุมัติให้สธ.เบิกจ่ายค่าตอบแทนเสี่ยงภัยให้ให้บุคลากร สู้ COVID-19 จริงหรือ ?</p>,กรมบัญชีกลางอนุมัติให้สธ.เบิกจ่ายค่าตอบแทนเสี่ยงภัยให้ให้บุคลากร สู้ COVID-19 ,real
<p>ข่าวบิดเบือน อย่าแชร์! ประกัน COVID-19 ฟรีสำหรับผู้มีบัตร ATM กรุงไทย คุ้มครอง 60 วัน</p>,ประกัน COVID-19 ฟรีสำหรับผู้มีบัตร ATM กรุงไทย คุ้มครอง 60 วัน,incorrect
<p>ข่าวบิดเบือน อย่าแชร์! ใส่รองเท้าแตะขับรถผิดกฎหมายตาม พรบ.ขนส่งทางบก</p>,ใส่รองเท้าแตะขับรถผิดกฎหมายตาม พรบ.ขนส่งทางบก,incorrect
<p>ยกเลิกวีซ่าฟรี 3 ประเทศ และยกเลิกวีซ่า VOA18 ประเทศ จริงหรือ?</p>,ยกเลิกวีซ่าฟรี 3 ประเทศ และยกเลิกวีซ่า VOA18 ประเทศ,real
<p>ข่าวปลอม อย่าแชร์! บริษัทชื่อดังปิดข่าว หมู ไก่ เป็นโรคเอดส์</p>,บริษัทชื่อดังปิดข่าว หมู ไก่ เป็นโรคเอดส์,fake
<p>ข่าวปลอม อย่าแชร์! กรมควบคุมโรค เปิดรับบริจาค เงิน Notebook และโทรศัพท์ สู้ภัย COVID-19</p>,กรมควบคุมโรค เปิดรับบริจาค เงิน Notebook และโทรศัพท์ สู้ภัย COVID-19,fake
<p>ครม.เห็นชอบ ให้โรงรับจำนำรัฐ กู้เงิน 500 ล้านบาท รองรับสภาพคล่อง จริงหรือ?</p>,ครม.เห็นชอบ ให้โรงรับจำนำรัฐ กู้เงิน 500 ล้านบาท รองรับสภาพคล่อง,real
<p>ข่าวบิดเบือน อย่าแชร์! ภูเก็ตอ้าแขนรับนักท่องเที่ยว 400 คน จากประเทศกลุ่มเสี่ยง แต่บังคับตรวจไข้ทุกวัน</p>,ภูเก็ตอ้าแขนรับนักท่องเที่ยว 400 คน จากประเทศกลุ่มเสี่ยง แต่บังคับตรวจไข้ทุกวัน,incorrect
<p>ข่าวปลอม อย่าแชร์! ยกเลิกการเกณฑ์ทหาร ป้องกัน COVID-19</p>,ยกเลิกการเกณฑ์ทหาร ป้องกัน COVID-19,fake
<p>กปน. แนะผู้ใช้น้ำ ชำระค่าบริการผ่านช่องทางออนไลน์ ลดความเสี่ยงจาก COVID-19 จริงหรือ?</p>,กปน. แนะผู้ใช้น้ำ ชำระค่าบริการผ่านช่องทางออนไลน์ ลดความเสี่ยงจาก COVID-19,real
<p>ข่าวปลอม อย่าแชร์! ลือ เชื้อ COVID-19 อยู่ที่ลำคอ 4 วันก่อนเข้าสู่ปอด กลั้วคอด้วยน้ำอุ่นผสมเกลือ ช่วยฆ่าเชื้อได้</p>,ลือ เชื้อ COVID-19 อยู่ที่ลำคอ 4 วันก่อนเข้าสู่ปอด กลั้วคอด้วยน้ำอุ่นผสมเกลือ ช่วยฆ่าเชื้อได้,fake
<p>ข่าวปลอม อย่าแชร์! เดนมาร์กประกาศ ห้ามประชาชนเดินทางเข้าประเทศไทย</p>,เดนมาร์กประกาศ ห้ามประชาชนเดินทางเข้าประเทศไทย,fake
<p>หากแพทย์ชี้ว่าเป็นผู้ต้องสงสัยติดเชื้อไวรัส COVID-19 สามารถใช้สิทธิประกันสังคม ตรวจและรักษาฟรี จริงหรือ?</p>,หากแพทย์ชี้ว่าเป็นผู้ต้องสงสัยติดเชื้อไวรัส COVID-19 สามารถใช้สิทธิประกันสังคม ตรวจและรักษาฟรี,real
<p>ข่าวปลอม อย่าแชร์! ชุดตรวจเชื้อ COVID-19 ด้วยตนเอง</p>,ชุดตรวจเชื้อ COVID-19 ด้วยตนเอง,fake
<p>ข่าวปลอม อย่าแชร์! รพ.ศิริราชแนะตุนของ จะมีการปิดเมือง</p>,รพ.ศิริราชแนะตุนของ จะมีการปิดเมือง,fake
<p>สพฐ. ตั้งศูนย์เฝ้าระวัง COVID-19 เล็งเลื่อนเปิดภาคเรียน หากระบาดหนัก จริงหรือ?</p>,สพฐ. ตั้งศูนย์เฝ้าระวัง COVID-19 เล็งเลื่อนเปิดภาคเรียน หากระบาดหนัก,real
<p>ข่าวปลอม อย่าแชร์! พบผู้ติดเชื้อ COVID-19 ที่หมู่บ้านในจังหวัดสมุทรปราการ แต่ปิดข่าว</p>,พบผู้ติดเชื้อ COVID-19 ที่หมู่บ้านในจังหวัดสมุทรปราการ แต่ปิดข่าว,fake
<p>ข่าวปลอม อย่าแชร์! เจ้าหน้าที่รักษาความปลอดภัย ที่ศูนย์ราชการแห่งหนึ่ง ติดเชื้อ COVID-19</p>,เจ้าหน้าที่รักษาความปลอดภัย ที่ศูนย์ราชการแห่งหนึ่ง ติดเชื้อ COVID-19,fake
